代码,产品名称,标的指数,份额类别,成立日,固定运作费率合计,业绩比较基准,合同跟踪误差上限,数据日期,替换规则,来源
016276,招商中证800指数增强A,中证800,A,2022-08-23,0.70%,中证800指数收益率×95%+中国人民银行人民币活期存款利率（税后）×5%,日均偏离绝对值≤0.5%；年化≤7.75%,2026-07-15,R1,https://cmfchina.com/web/fundDetail/016276/index.html
017985,华夏中证800指数增强A,中证800,A,2023-03-30,0.95%,中证800指数收益率×95%+银行活期存款利率（税后）×5%,日均偏离绝对值≤0.5%；年化≤7.75%,2026-07-15,R1,https://www.chinaamc.com/upload/resources/file/2026/05/29/7df21a1bf3044f159de5c3cbc5f1a66c.pdf
022513,人保中证800指数增强A,中证800,A,2024-12-23,0.95%,中证800指数收益率×95%+银行活期存款税后利率×5%,日均偏离绝对值≤0.5%；年化≤8.00%,2026-07-15,R1,https://fund.piccamc.com/upload/file/202411/15/QwYa6OYs71m6ockv.pdf
022461,华商中证A500指数增强A,中证A500,A,2024-11-01,0.95%,中证A500指数收益率×95%+银行活期存款利率（税后）×5%,日均偏离绝对值≤0.5%；年化≤7.75%,2026-07-15,R1,https://static.cninfo.com.cn/finalpage/2025-07-21/1224231407.PDF
022485,国金中证A500指数增强A,中证A500,A,2024-11-18,0.90%,中证A500指数收益率×95%+同期银行活期存款利率（税后）×5%,日均偏离绝对值≤0.5%；年化≤7.75%,2026-07-15,R1,https://www.gfund.com/fundDetail/022485/index.html
022467,国泰海通中证A500指数增强A,中证A500,A,2024-12-17,0.95%,中证A500指数收益率×95%+同期银行活期存款利率（税后）×5%,日均偏离绝对值≤0.5%；年化≤7.75%,2026-07-15,R1,https://static.cninfo.com.cn/finalpage/2024-11-08/1221656203.PDF
