attempt_id,ordinal,mode,mechanism,completed_at,provider,requested_model,returned_model,protocol_sha256,execution_release_id,execution_release_sha256,request_sha256,response_sha256,code_snapshot_sha256,prompt_tokens,prompt_cache_hit_tokens,prompt_cache_miss_tokens,completion_tokens,estimated_cost_usd,parse_status,schema_status,duplicate_status,candidate_fingerprint,semantic_signature,parent_fingerprint,failure_class,raw_artifact_path,raw_artifact_sha256,manifest_path,manifest_sha256,operator
ts-v5-r3f-i01-volatility-adaptive-pullback,1,INDEPENDENT,VOLATILITY_ADAPTIVE_PULLBACK,2026-08-13T05:55:38+00:00,deepseek,deepseek-v4-pro,deepseek-v4-pro,2510e8ccc5590fc8de37f48e0b3bfc85ee95e5bce5f353cb377d129d1e8b195c,ts-v5-r3f-bound-proposal-canary-001,da758d6de3f09f71c03497b306938a9ecf66ef5170d0f6eddc606e4d11347ab6,609dd2b8367be63ead0626b8973e0367a64e001ab2609ba3d7f055db6ce1b727,5af2006c41699ed23955759b1b3533069feab8b30213ffb1d1df3fcec8469832,e1bdaa8b9d2ae1aff93139bf8d6419393911a325c05734642e9fb8b24ba79659,3128,0,3128,609,0.001890510000,PASS,PASS,UNIQUE,bc94a47bf29c0679c149504d58df128658f5297ea9ba9696d276b23c0b5ffd37,a67d8b2b820727718437a8db970229557116e141352b9501a1ab025706898244,,,data/research/trend_swing/ts-v5-r3f-canary-001/artifacts/raw/ts-v5-r3f-i01-volatility-adaptive-pullback-5af2006c4169.json,975143e609bcdfdda20593bb8c09c33458318bfae0761331fb855c8de4206351,data/research/trend_swing/ts-v5-r3f-canary-001/artifacts/manifests/ts-v5-r3f-i01-volatility-adaptive-pullback.json,421db948d07f5279f33ad7c8f04a2f206c994db28df79f2b5301a426aa8b41ea,docker-ts-v5-r3f
ts-v5-r3f-i02-weekly-structure-quantile,2,INDEPENDENT,WEEKLY_STRUCTURE_QUANTILE,2026-08-13T05:55:50+00:00,deepseek,deepseek-v4-pro,deepseek-v4-pro,2510e8ccc5590fc8de37f48e0b3bfc85ee95e5bce5f353cb377d129d1e8b195c,ts-v5-r3f-bound-proposal-canary-001,da758d6de3f09f71c03497b306938a9ecf66ef5170d0f6eddc606e4d11347ab6,cded8d77fc8eeea5054d5d2dd7bf12ff3e1076d561290c105e845f8c045f951e,f7741e2020156442e4ae8dd9c41335c4990883198b5faa3537bf2faeab8199e3,e1bdaa8b9d2ae1aff93139bf8d6419393911a325c05734642e9fb8b24ba79659,3016,0,3016,521,0.001765230000,PASS,PASS,UNIQUE,cb2c6cb939cda266aa8daa6eb13ed1d38e55d054a30de6be8efb9232cfebba0d,20698a3c17f00b2c624a17ccaeb84affa07b5f0007686536b246443daab37e2a,,,data/research/trend_swing/ts-v5-r3f-canary-001/artifacts/raw/ts-v5-r3f-i02-weekly-structure-quantile-f7741e202015.json,e96e9d8159bf27557b44550506e8a3e1f2a4c6cd18919e02c5f378f88dbafb89,data/research/trend_swing/ts-v5-r3f-canary-001/artifacts/manifests/ts-v5-r3f-i02-weekly-structure-quantile.json,e543875b545ec0a1b8670e03af577b3685628c4979d8b8f236f270ca0fd03607,docker-ts-v5-r3f
ts-v5-r3f-i03-breakout-retest,3,INDEPENDENT,BREAKOUT_RETEST,2026-08-13T05:56:02+00:00,deepseek,deepseek-v4-pro,deepseek-v4-pro,2510e8ccc5590fc8de37f48e0b3bfc85ee95e5bce5f353cb377d129d1e8b195c,ts-v5-r3f-bound-proposal-canary-001,da758d6de3f09f71c03497b306938a9ecf66ef5170d0f6eddc606e4d11347ab6,bbef0cc875ece6e23bf804193b1eca2bae7e9c73d4b1b9d70af4a6eb455c2356,2840515d46845219fdc17bd66cfcb74286a2252c94ff85f26b9279d6295fa11b,e1bdaa8b9d2ae1aff93139bf8d6419393911a325c05734642e9fb8b24ba79659,3122,256,2866,576,0.001748758000,PASS,PASS,UNIQUE,0956f9981311d6390d332bd579d27ab5c3095d5cd1660b2565387365e40fef30,fc6b6199311ba8cdd9d156147dc6da06dd47db3aa34ba2bc9fb88b640c1fc2c1,,,data/research/trend_swing/ts-v5-r3f-canary-001/artifacts/raw/ts-v5-r3f-i03-breakout-retest-2840515d4684.json,8e1c42c747cda986978bf353212ea757a1cd83509b7031be9830ce651b29b3f5,data/research/trend_swing/ts-v5-r3f-canary-001/artifacts/manifests/ts-v5-r3f-i03-breakout-retest.json,701be18d865a242158647572f9aa5275fcbc4800ede5825eaf0adbbf1f88df3c,docker-ts-v5-r3f
ts-v5-r3f-i04-moving-average-resumption,4,INDEPENDENT,MOVING_AVERAGE_RESUMPTION,2026-08-13T05:56:13+00:00,deepseek,deepseek-v4-pro,deepseek-v4-pro,2510e8ccc5590fc8de37f48e0b3bfc85ee95e5bce5f353cb377d129d1e8b195c,ts-v5-r3f-bound-proposal-canary-001,da758d6de3f09f71c03497b306938a9ecf66ef5170d0f6eddc606e4d11347ab6,73cfce8ab40f8df3054daf8f44cac2579b28ed2f6aa1dc8e776adb61d90e0f05,c93c46f1d4f5b2ce0484c5147f0ee049c79065d09f041af0b59c01579debeadf,e1bdaa8b9d2ae1aff93139bf8d6419393911a325c05734642e9fb8b24ba79659,3181,256,2925,601,0.001796173000,PASS,PASS,UNIQUE,621265d9e916680275d66d9882192aee3a3e38920e859c709daa98d7b4c92e94,4411c70947af73f6240c6b13790203706c505dd0002f435594e6a4bf82f0fe7b,,,data/research/trend_swing/ts-v5-r3f-canary-001/artifacts/raw/ts-v5-r3f-i04-moving-average-resumption-c93c46f1d4f5.json,157b018cea6a0d6b5aa9fc26c24db9d022af67f514f2de2bd644d6291087b0c2,data/research/trend_swing/ts-v5-r3f-canary-001/artifacts/manifests/ts-v5-r3f-i04-moving-average-resumption.json,24cd3546d5c612eae5a41f8b7de20e623d284f55eb34956035524c08678c3b21,docker-ts-v5-r3f
ts-v5-r3f-i05-contraction-expansion,5,INDEPENDENT,CONTRACTION_EXPANSION,2026-08-13T05:56:29+00:00,deepseek,deepseek-v4-pro,deepseek-v4-pro,2510e8ccc5590fc8de37f48e0b3bfc85ee95e5bce5f353cb377d129d1e8b195c,ts-v5-r3f-bound-proposal-canary-001,da758d6de3f09f71c03497b306938a9ecf66ef5170d0f6eddc606e4d11347ab6,05afd1115319e4bc02d808ebb4124be3bfd8c8d3f729c2b0633af596e7e79f15,1cdc8a9534c9079c44f4d422b39f7335617c21cc1a778147cab053c231b6a074,e1bdaa8b9d2ae1aff93139bf8d6419393911a325c05734642e9fb8b24ba79659,3218,256,2962,614,0.001823578000,PASS,PASS,UNIQUE,bdb74d75d3f1fc69429743281cc40a7305e68031635834c4923516d28f7a3b26,c7730d5f3825a7cb57ba95392dcdcc899c6ee2a6ebefb01790010e17730ebf4b,,,data/research/trend_swing/ts-v5-r3f-canary-001/artifacts/raw/ts-v5-r3f-i05-contraction-expansion-1cdc8a9534c9.json,893678b4c51b86f3d83d82d0161061ea079507f07a858a86386d1303606e9cda,data/research/trend_swing/ts-v5-r3f-canary-001/artifacts/manifests/ts-v5-r3f-i05-contraction-expansion.json,bf749f69e234361fabfa4b3d142cc5c8d887e90cc4eb4f161cffae168b18bddb,docker-ts-v5-r3f
ts-v5-r3f-i06-relative-strength-pullback,6,INDEPENDENT,RELATIVE_STRENGTH_PULLBACK,2026-08-13T05:56:41+00:00,deepseek,deepseek-v4-pro,deepseek-v4-pro,2510e8ccc5590fc8de37f48e0b3bfc85ee95e5bce5f353cb377d129d1e8b195c,ts-v5-r3f-bound-proposal-canary-001,da758d6de3f09f71c03497b306938a9ecf66ef5170d0f6eddc606e4d11347ab6,b171e56e606f571f3c7d10e2b3d3387c0c6ab65f2ee564dd13a5d256137f5805,2862fa2c63094774be00aea46031e053660a5d16027b670e6d8826c2a7076121,e1bdaa8b9d2ae1aff93139bf8d6419393911a325c05734642e9fb8b24ba79659,3160,256,2904,565,0.001755718000,PASS,PASS,UNIQUE,6510e4460c7eaa61c07b0f8d4ab338b3007e85c96f638cd82aeb9f23673ea90a,f09ddd4850acd67fe7ef86b4047c359e1a90c722197636ccf84346ab8b441454,,,data/research/trend_swing/ts-v5-r3f-canary-001/artifacts/raw/ts-v5-r3f-i06-relative-strength-pullback-2862fa2c6309.json,880394b602e9ee67e47ca8198e0d31d5de49e68c50448464d9c08b37b6837f6e,data/research/trend_swing/ts-v5-r3f-canary-001/artifacts/manifests/ts-v5-r3f-i06-relative-strength-pullback.json,217f8ead97b48c28acac35127a2d457c9d42eb18985e951b5250ae56726b0f00,docker-ts-v5-r3f
