event_id,run_id,recorded_at,account_id,effective_date,sequence,event_type,business_key,signal_sha256,ts_code,side,quantity,price,amount,fee,cash_after,position_after,payload_json,evidence_sha256,operator
c7ce0a0fd13b5fb9ca5d,04306039a53d0742cf34,2026-07-22T12:54:04.544170+00:00,model_baseline,20260721,4,POSITION,20260721:002407.SZ,e0edbf0ac4458e680955000f3c10ec685eeb3d1954425b0ecf55d5f2172e4bb8,002407.SZ,,500,,,,,500,"{""close"":""30.13"",""cost_basis"":""15955.16"",""market_value"":""15065.00"",""price_date"":""20260721"",""quantity"":500,""realized_pnl"":""0.00"",""stale_trade_days"":0,""ts_code"":""002407.SZ""}",95aefe240360c7001a52890d149c3d67cc4f9665a8b1de0f41bf676c7b27c187,docker-scheduler
766f8a1a2b2b18a9c0fd,04306039a53d0742cf34,2026-07-22T12:54:04.544170+00:00,model_baseline,20260721,5,POSITION,20260721:300054.SZ,e0edbf0ac4458e680955000f3c10ec685eeb3d1954425b0ecf55d5f2172e4bb8,300054.SZ,,200,,,,,200,"{""close"":""77.32"",""cost_basis"":""14581.15"",""market_value"":""15464.00"",""price_date"":""20260721"",""quantity"":200,""realized_pnl"":""0.00"",""stale_trade_days"":0,""ts_code"":""300054.SZ""}",18402c2ed7ca7bcdf302082c5d5b58ab66da034d0cd4e5698a90fcfd93e27f7d,docker-scheduler
ad1c270fdfdb174cc951,04306039a53d0742cf34,2026-07-22T12:54:04.544170+00:00,model_baseline,20260721,6,POSITION,20260721:300136.SZ,e0edbf0ac4458e680955000f3c10ec685eeb3d1954425b0ecf55d5f2172e4bb8,300136.SZ,,200,,,,,200,"{""close"":""68.51"",""cost_basis"":""15517.16"",""market_value"":""13702.00"",""price_date"":""20260721"",""quantity"":200,""realized_pnl"":""0.00"",""stale_trade_days"":0,""ts_code"":""300136.SZ""}",dbfac1230f37002af484f80da673665134e07f5ba381c9af3efd3f0e1536a350,docker-scheduler
745f2be492e1b4cf5408,04306039a53d0742cf34,2026-07-22T12:54:04.544170+00:00,model_baseline,20260721,7,POSITION,20260721:300346.SZ,e0edbf0ac4458e680955000f3c10ec685eeb3d1954425b0ecf55d5f2172e4bb8,300346.SZ,,200,,,,,200,"{""close"":""56.72"",""cost_basis"":""12479.12"",""market_value"":""11344.00"",""price_date"":""20260721"",""quantity"":200,""realized_pnl"":""0.00"",""stale_trade_days"":0,""ts_code"":""300346.SZ""}",71f06818cfdce9bd722febca7b7079f601b065e374240d845502ce81c42628ce,docker-scheduler
8bece2b4b93e55107e5e,04306039a53d0742cf34,2026-07-22T12:54:04.544170+00:00,model_baseline,20260721,8,POSITION,20260721:300373.SZ,e0edbf0ac4458e680955000f3c10ec685eeb3d1954425b0ecf55d5f2172e4bb8,300373.SZ,,100,,,,,100,"{""close"":""98.51"",""cost_basis"":""10305.10"",""market_value"":""9851.00"",""price_date"":""20260721"",""quantity"":100,""realized_pnl"":""0.00"",""stale_trade_days"":0,""ts_code"":""300373.SZ""}",272552b79f3bfbba5e793b70a3014db7b76739329f64a292a72b2a4793691209,docker-scheduler
269cbf9ef5b0fb844d2e,04306039a53d0742cf34,2026-07-22T12:54:04.544170+00:00,model_baseline,20260721,9,POSITION,20260721:300623.SZ,e0edbf0ac4458e680955000f3c10ec685eeb3d1954425b0ecf55d5f2172e4bb8,300623.SZ,,500,,,,,500,"{""close"":""27.33"",""cost_basis"":""15000.15"",""market_value"":""13665.00"",""price_date"":""20260721"",""quantity"":500,""realized_pnl"":""0.00"",""stale_trade_days"":0,""ts_code"":""300623.SZ""}",958e017a234f918df8c6052c7a0dfa1cc128e5c6caf430a7f9647f4e4a87ca3a,docker-scheduler
4d208636a0a790fc94dd,04306039a53d0742cf34,2026-07-22T12:54:04.544170+00:00,model_baseline,20260721,10,POSITION,20260721:300661.SZ,e0edbf0ac4458e680955000f3c10ec685eeb3d1954425b0ecf55d5f2172e4bb8,300661.SZ,,100,,,,,100,"{""close"":""110.05"",""cost_basis"":""10737.11"",""market_value"":""11005.00"",""price_date"":""20260721"",""quantity"":100,""realized_pnl"":""0.00"",""stale_trade_days"":0,""ts_code"":""300661.SZ""}",635c9bcf7945dfe067a9a3a842d0fc3f1d8315d6d318280af7511fa848996344,docker-scheduler
2aff4182a85ff5b38f86,04306039a53d0742cf34,2026-07-22T12:54:04.544170+00:00,model_baseline,20260721,11,POSITION,20260721:301611.SZ,e0edbf0ac4458e680955000f3c10ec685eeb3d1954425b0ecf55d5f2172e4bb8,301611.SZ,,100,,,,,100,"{""close"":""107.17"",""cost_basis"":""11914.12"",""market_value"":""10717.00"",""price_date"":""20260721"",""quantity"":100,""realized_pnl"":""0.00"",""stale_trade_days"":0,""ts_code"":""301611.SZ""}",285a15b045f8804f6111ac07a9a20df316f372b697fefdd228a42cf8b376177d,docker-scheduler
7e7f0ca93cee806c1de8,04306039a53d0742cf34,2026-07-22T12:54:04.544170+00:00,model_baseline,20260721,12,POSITION,20260721:600460.SH,e0edbf0ac4458e680955000f3c10ec685eeb3d1954425b0ecf55d5f2172e4bb8,600460.SH,,400,,,,,400,"{""close"":""32.87"",""cost_basis"":""14445.14"",""market_value"":""13148.00"",""price_date"":""20260721"",""quantity"":400,""realized_pnl"":""0.00"",""stale_trade_days"":0,""ts_code"":""600460.SH""}",50de4eea0c50bfbcd48e444366cc927eff5ee4f3abd51988413166b1e599e9a2,docker-scheduler
3ce75264484b03c7fb2c,04306039a53d0742cf34,2026-07-22T12:54:04.544170+00:00,model_baseline,20260721,13,POSITION,20260721:600707.SH,e0edbf0ac4458e680955000f3c10ec685eeb3d1954425b0ecf55d5f2172e4bb8,600707.SH,,1600,,,,,1600,"{""close"":""9.25"",""cost_basis"":""15813.16"",""market_value"":""14800.00"",""price_date"":""20260721"",""quantity"":1600,""realized_pnl"":""0.00"",""stale_trade_days"":0,""ts_code"":""600707.SH""}",c54de5c37bbd48b6f6dc2387cb3c945d15b17ae58df670159d1ba20968a34f0d,docker-scheduler
8b321c5a31a7e7054a5e,04306039a53d0742cf34,2026-07-22T12:54:04.544170+00:00,model_baseline,20260721,14,POSITION,20260721:603308.SH,e0edbf0ac4458e680955000f3c10ec685eeb3d1954425b0ecf55d5f2172e4bb8,603308.SH,,300,,,,,300,"{""close"":""46.61"",""cost_basis"":""14402.14"",""market_value"":""13983.00"",""price_date"":""20260721"",""quantity"":300,""realized_pnl"":""0.00"",""stale_trade_days"":0,""ts_code"":""603308.SH""}",475d31f8a056b70705e77b7bfd3f90ef68ef72003d4f89a93f4cc1386ce4a4be,docker-scheduler
991747a97eb68f41365e,04306039a53d0742cf34,2026-07-22T12:54:04.544170+00:00,model_baseline,20260721,15,POSITION,20260721:603650.SH,e0edbf0ac4458e680955000f3c10ec685eeb3d1954425b0ecf55d5f2172e4bb8,603650.SH,,200,,,,,200,"{""close"":""66.5"",""cost_basis"":""13857.14"",""market_value"":""13300.00"",""price_date"":""20260721"",""quantity"":200,""realized_pnl"":""0.00"",""stale_trade_days"":0,""ts_code"":""603650.SH""}",28dd74d91182e1e13066962d362321ab08af0db9782f409879d400c3fcbb255e,docker-scheduler
a4108154e3eecc1e188b,04306039a53d0742cf34,2026-07-22T12:54:04.544170+00:00,model_baseline,20260721,16,POSITION,20260721:603699.SH,e0edbf0ac4458e680955000f3c10ec685eeb3d1954425b0ecf55d5f2172e4bb8,603699.SH,,400,,,,,400,"{""close"":""41.62"",""cost_basis"":""16505.17"",""market_value"":""16648.00"",""price_date"":""20260721"",""quantity"":400,""realized_pnl"":""0.00"",""stale_trade_days"":0,""ts_code"":""603699.SH""}",ed6ee9d03adcd2ed36bcf47f1340aadcad78006f13b4d6bd54d61db122a8e6c5,docker-scheduler
a9e790bed4ce75dd3464,04306039a53d0742cf34,2026-07-22T12:54:04.544170+00:00,model_baseline,20260721,17,POSITION,20260721:605358.SH,e0edbf0ac4458e680955000f3c10ec685eeb3d1954425b0ecf55d5f2172e4bb8,605358.SH,,300,,,,,300,"{""close"":""43.83"",""cost_basis"":""14930.15"",""market_value"":""13149.00"",""price_date"":""20260721"",""quantity"":300,""realized_pnl"":""0.00"",""stale_trade_days"":0,""ts_code"":""605358.SH""}",8a14f7b5e6fed178197c70ac7432f3ccea86e5236edca81b5dcfb064657d2886,docker-scheduler
62b8b116744d44f1d9f5,04306039a53d0742cf34,2026-07-22T12:54:04.544170+00:00,model_baseline,20260721,18,POSITION,20260721:688248.SH,e0edbf0ac4458e680955000f3c10ec685eeb3d1954425b0ecf55d5f2172e4bb8,688248.SH,,402,,,,,402,"{""close"":""43.35"",""cost_basis"":""16668.07"",""market_value"":""17426.70"",""price_date"":""20260721"",""quantity"":402,""realized_pnl"":""0.00"",""stale_trade_days"":0,""ts_code"":""688248.SH""}",4ad39900d11d6aaa19dcd2b9bc70a4b471569df45631d5773892702d7e841e1d,docker-scheduler
b5d894b5d6fce5245fa1,04306039a53d0742cf34,2026-07-22T12:54:04.544170+00:00,model_baseline,20260721,19,POSITION,20260721:688396.SH,e0edbf0ac4458e680955000f3c10ec685eeb3d1954425b0ecf55d5f2172e4bb8,688396.SH,,256,,,,,256,"{""close"":""65.28"",""cost_basis"":""16617.01"",""market_value"":""16711.68"",""price_date"":""20260721"",""quantity"":256,""realized_pnl"":""0.00"",""stale_trade_days"":0,""ts_code"":""688396.SH""}",9daf9ee4f6268483a3900d4a5bf066f2423590eccac5356abd3cce514159b4ac,docker-scheduler
