reconciliation_id,started_at,finished_at,signal_trade_date,execution_trade_date,status,signal_sha256,data_snapshot_sha256,artifact_path,artifact_sha256,order_count,trade_count,executable_count,turnover,mean_abs_open_deviation,estimated_cost,error_type,operator
0a4629395f7e,2026-07-17T11:44:01.380568+00:00,2026-07-17T11:44:06.848103+00:00,20260716,20260717,PASS,a7af3881ad1369731543414f6c2876a3d2544d859d65eb620bff67a40eac28b2,750f89acdf7a2f15f862857e4d50b766db63c7010cf6ffbbc5d4a6abb85ae9a4,data/shadow/reconciliations/20260716-20260717-a7af3881ad13.json,7536763b28644a128f67d69eb7a3fdd6a31f285af33d0b729048bc833096e15a,30,30,30,1.0,0.0123693509473486,0.0006,,docker-scheduler
5a09162d1be5,2026-07-20T11:37:10.325752+00:00,2026-07-20T11:37:16.743152+00:00,20260717,20260720,PASS,5fc1e7915d2cb81a960df9db446b108f9d7d7852109a5e18c308d28bebf23eed,4431d5969b01ffc55faffd9ea2a27de189b448b843b3ddb372d81b87021824a4,data/shadow/reconciliations/20260717-20260720-5fc1e7915d2c.json,8ae3087217aee8ce1b7b2c95419aace38b80beea432fb3924483fea1a02af366,30,0,0,0.0,0.029553514740997777,0.0,,docker-scheduler
7755e78e64e3,2026-07-21T13:16:15.556477+00:00,2026-07-21T13:16:21.216901+00:00,20260720,20260721,PASS,e0edbf0ac4458e680955000f3c10ec685eeb3d1954425b0ecf55d5f2172e4bb8,bdcd89de4211787e131f6115691c5c16164c0d407e17528756dcddf5070f65a4,data/shadow/reconciliations/20260720-20260721-e0edbf0ac445.json,5ea1399d2b605d7ea0a50e9ea179d8bf0b71863dd20865cee955bb3c2614f6bb,30,0,0,0.0,0.0167902161295325,0.0,,docker-scheduler
ccea996f2ce0,2026-07-22T11:37:55.265265+00:00,2026-07-22T11:38:07.691710+00:00,20260721,20260722,PASS,c84a80351f1e7b22a5f5f7f6a56b3429edf191b5d541b5f874bbd7fffeddc064,ecc1677e18248ca32d38c84a09064cf4daafaa30d03bc0cfff04dbd39f9791c6,data/shadow/reconciliations/20260721-20260722-c84a80351f1e.json,05704819a7e437a8cdd96f6d23a92413fe8b198c87a32ad2304ab577985a118d,30,0,0,0.0,0.0174135401463679,0.0,,docker-scheduler
8b3050b74339,2026-07-23T11:45:21.221958+00:00,2026-07-23T11:45:29.055244+00:00,20260722,20260723,PASS,3eef24f0d52ce08a220ea2be20ec37df9d8b0f2a577f322c607660851f7fd512,b7ef9171e848bad0fed0f892914bd82daac0d2e219f3482c0f308db07f696ab9,data/shadow/reconciliations/20260722-20260723-3eef24f0d52c.json,db7c5d544dd934e0148ffc2a96c07884a6f6f7db4a1250755b37de2b5faff038,30,0,0,0.0,0.01323803896787223,0.0,,docker-scheduler
9582ba30905a,2026-07-24T12:06:25.406269+00:00,2026-07-24T12:06:32.567751+00:00,20260723,20260724,PASS,cb092b2143335da11463b34c5b75c3a5b1d2e99142272d69b6c05bb88ae79b1e,f91c8c78406a214ad9ebef39c56cad2d1cb24472f1c104fa5ded0d578c51b3ab,data/shadow/reconciliations/20260723-20260724-cb092b214333.json,12f752dcc459226bc2cb1b4fdc8a6ae5285ac987cca99f4d506a9f3a89867135,30,0,0,0.0,0.018210485017369046,0.0,,docker-scheduler
e4c1e4736ab6,2026-07-27T11:43:23.840468+00:00,2026-07-27T11:43:29.486907+00:00,20260724,20260727,PASS,8521ca67d8177aa34215ee811456154d56f9d2791f4de418cc3f46290acd6406,31b87ce5f99769246355e709a4f18d09b9d7ef3356e5c2f0c1c4d3dfd5401ec5,data/shadow/reconciliations/20260724-20260727-8521ca67d817.json,aea0ecf0c263a4d0171e71740144fbe9fc5dd270371abde3ac116242db834fa9,30,0,0,0.0,0.005664911457951668,0.0,,docker-scheduler
42e3a3288093,2026-07-28T11:36:55.249314+00:00,2026-07-28T11:37:02.116661+00:00,20260727,20260728,PASS,f875abbfb7426dd1e6d643f2ee098d86f9e7f6b8457fd91de33966431bbf4b4f,6d811d8be39082b0f862cbb8296f07d2db7181031f12f530de727fb5458c6d6a,data/shadow/reconciliations/20260727-20260728-f875abbfb742.json,4769051dcfa49a32c3d2fec77aa40654c67a39633cde22b8c9df8b2345efa78c,30,0,0,0.0,0.028121624797611284,0.0,,docker-scheduler
701974bc06b6,2026-07-29T11:41:51.594345+00:00,2026-07-29T11:41:57.736986+00:00,20260728,20260729,PASS,819f2e6ae83dbb9d3e6f59e49f5012806eb7896898ab0ff37bfd209471ab7572,a9041e563297cfa2dc0c885eb8e84b561c707a96ff89efe390a65137df07c083,data/shadow/reconciliations/20260728-20260729-819f2e6ae83d.json,c7990edcff4aab1e528f480d419a14b3c9f92b2c5b52fcafca748a007d143fb5,30,0,0,0.0,0.006458771074872116,0.0,,docker-scheduler
