attempt_id,ordinal,mode,mechanism,completed_at,provider,requested_model,returned_model,protocol_sha256,execution_release_id,execution_release_sha256,request_sha256,response_sha256,code_snapshot_sha256,prompt_tokens,prompt_cache_hit_tokens,prompt_cache_miss_tokens,completion_tokens,estimated_cost_usd,parse_status,schema_status,duplicate_status,candidate_fingerprint,semantic_signature,parent_fingerprint,failure_class,raw_artifact_path,raw_artifact_sha256,manifest_path,manifest_sha256,operator
ts-v5-r3c-i01-volatility-adaptive-pullback,1,INDEPENDENT,VOLATILITY_ADAPTIVE_PULLBACK,2026-08-13T04:41:27+00:00,deepseek,deepseek-v4-pro,deepseek-v4-pro,b453590686223bdfec62500836600a2715afc319a647a720fd11d4ff24657d9e,ts-v5-r3c-contract-projection-canary-001,849af5f4d761fa323a2bc63123879e0696b14733ca3c03adbf8c881afb64d0da,9edd8c574af2ed57acd28bc9cb39b9faf4ca35e9eb93dcfda9a42d2412c9badb,0f34b8e8047363703e5980ccd58e22bd16829a7960fd307abb495654e6003113,227c299691427566080a2204fbb284cdbf4687a6a655bb8ec93771deb2c1695b,3191,0,3191,828,0.002108445000,PASS,FAIL,NOT_EVALUATED,,,,PROPOSAL_SCHEMA_OR_COMPILER_INVALID,data/research/trend_swing/ts-v5-r3c-canary-001/artifacts/raw/ts-v5-r3c-i01-volatility-adaptive-pullback-0f34b8e80473.json,7362f7a14f50c22fc7e2037d80b9417798c189e9e5d658e4d6807fdcf7edd2d9,data/research/trend_swing/ts-v5-r3c-canary-001/artifacts/manifests/ts-v5-r3c-i01-volatility-adaptive-pullback.json,349a5d471414021defb9ccd34b3db288e5a78240ddc19f7a62cf658c9b22adf8,docker-ts-v5-r3c
ts-v5-r3c-i02-weekly-structure-quantile,2,INDEPENDENT,WEEKLY_STRUCTURE_QUANTILE,2026-08-13T04:41:39+00:00,deepseek,deepseek-v4-pro,deepseek-v4-pro,b453590686223bdfec62500836600a2715afc319a647a720fd11d4ff24657d9e,ts-v5-r3c-contract-projection-canary-001,849af5f4d761fa323a2bc63123879e0696b14733ca3c03adbf8c881afb64d0da,314c8ff4acb19b739f9030a7ec47c9668f0a4d532ee06adc0e91476319047ae9,538725b934c9f20f5a78c409fc7e1c1f0d890eb035a817f7721cf4298519ebab,227c299691427566080a2204fbb284cdbf4687a6a655bb8ec93771deb2c1695b,3051,0,3051,673,0.001912695000,PASS,FAIL,NOT_EVALUATED,,,,PROPOSAL_SCHEMA_OR_COMPILER_INVALID,data/research/trend_swing/ts-v5-r3c-canary-001/artifacts/raw/ts-v5-r3c-i02-weekly-structure-quantile-538725b934c9.json,fd4bf25846e1a17196b6c5acadb5765d6a458e719459afb832293d4d2182febb,data/research/trend_swing/ts-v5-r3c-canary-001/artifacts/manifests/ts-v5-r3c-i02-weekly-structure-quantile.json,9014745b0e5cc7b03c8a5bcb29098a3ca5dc3a8c46d4e199a575f211ec915124,docker-ts-v5-r3c
ts-v5-r3c-i03-breakout-retest,3,INDEPENDENT,BREAKOUT_RETEST,2026-08-13T04:41:51+00:00,deepseek,deepseek-v4-pro,deepseek-v4-pro,b453590686223bdfec62500836600a2715afc319a647a720fd11d4ff24657d9e,ts-v5-r3c-contract-projection-canary-001,849af5f4d761fa323a2bc63123879e0696b14733ca3c03adbf8c881afb64d0da,056cbff398e7d3a9efd46c304aa5da07fcd6ee6840b52ec7180015a058410f8d,241a4b7515536c6d95af22eb3930d3cab14793b70d0d3165c4944ed66c79d07e,227c299691427566080a2204fbb284cdbf4687a6a655bb8ec93771deb2c1695b,3187,0,3187,696,0.001991865000,PASS,FAIL,NOT_EVALUATED,,,,PROPOSAL_SCHEMA_OR_COMPILER_INVALID,data/research/trend_swing/ts-v5-r3c-canary-001/artifacts/raw/ts-v5-r3c-i03-breakout-retest-241a4b751553.json,983b3c66bcd2f748c0a1d194f6faa1deafaa4062c5deb45301e14f16c100b048,data/research/trend_swing/ts-v5-r3c-canary-001/artifacts/manifests/ts-v5-r3c-i03-breakout-retest.json,dec403b24de06a78eb7d02bd8a60bbcea346a83b5fe5f31af63c619b62231261,docker-ts-v5-r3c
ts-v5-r3c-i04-moving-average-resumption,4,INDEPENDENT,MOVING_AVERAGE_RESUMPTION,2026-08-13T04:42:06+00:00,deepseek,deepseek-v4-pro,deepseek-v4-pro,b453590686223bdfec62500836600a2715afc319a647a720fd11d4ff24657d9e,ts-v5-r3c-contract-projection-canary-001,849af5f4d761fa323a2bc63123879e0696b14733ca3c03adbf8c881afb64d0da,cdfffb4983906f9c5b26da7c5a71ab6ffbb259c61cc26bdcc3c43508d13312bf,5b3e7b4d751940ec494a86de057cee08972de6df95a74fb87e5eac4746b0e3a9,227c299691427566080a2204fbb284cdbf4687a6a655bb8ec93771deb2c1695b,3247,0,3247,660,0.001986645000,PASS,FAIL,NOT_EVALUATED,,,,PROPOSAL_SCHEMA_OR_COMPILER_INVALID,data/research/trend_swing/ts-v5-r3c-canary-001/artifacts/raw/ts-v5-r3c-i04-moving-average-resumption-5b3e7b4d7519.json,3b5f374b670d51adba9af05d2a260a6af38bed381502c6ecc6633af06f54f74f,data/research/trend_swing/ts-v5-r3c-canary-001/artifacts/manifests/ts-v5-r3c-i04-moving-average-resumption.json,317f5d1cd532bf82ebd97bcb773970161a97e3129038ca1bc480dd77d1fbedce,docker-ts-v5-r3c
ts-v5-r3c-i05-contraction-expansion,5,INDEPENDENT,CONTRACTION_EXPANSION,2026-08-13T04:42:16+00:00,deepseek,deepseek-v4-pro,deepseek-v4-pro,b453590686223bdfec62500836600a2715afc319a647a720fd11d4ff24657d9e,ts-v5-r3c-contract-projection-canary-001,849af5f4d761fa323a2bc63123879e0696b14733ca3c03adbf8c881afb64d0da,bebe9aab3be4a8ab53ce8cad43b912b4989a80f4c55b03fb4fdd656e9ede647c,268cd1c6e9d3f431371d2b3073d73e36266951e632fc4a7198b2a473c7878d17,227c299691427566080a2204fbb284cdbf4687a6a655bb8ec93771deb2c1695b,3312,0,3312,715,0.002062770000,PASS,FAIL,NOT_EVALUATED,,,,PROPOSAL_SCHEMA_OR_COMPILER_INVALID,data/research/trend_swing/ts-v5-r3c-canary-001/artifacts/raw/ts-v5-r3c-i05-contraction-expansion-268cd1c6e9d3.json,9d4b0c607444c75766c928658260d0244a86b72e8084308d3a04264cef63c4c3,data/research/trend_swing/ts-v5-r3c-canary-001/artifacts/manifests/ts-v5-r3c-i05-contraction-expansion.json,4dd50e09e76f910d7d32bbb6410a7145f81fc8e6159a984559ec8b1a0dcdd022,docker-ts-v5-r3c
ts-v5-r3c-i06-relative-strength-pullback,6,INDEPENDENT,RELATIVE_STRENGTH_PULLBACK,2026-08-13T04:42:26+00:00,deepseek,deepseek-v4-pro,deepseek-v4-pro,b453590686223bdfec62500836600a2715afc319a647a720fd11d4ff24657d9e,ts-v5-r3c-contract-projection-canary-001,849af5f4d761fa323a2bc63123879e0696b14733ca3c03adbf8c881afb64d0da,d550d1b810030c0b3d49eaa1e33768c9f59920ed0e290f8480b9d65945065c45,08c51335ea80d0c3d608862acc1083e0fead73c4b7872c944c81910cc6b433b3,227c299691427566080a2204fbb284cdbf4687a6a655bb8ec93771deb2c1695b,3223,0,3223,653,0.001970115000,PASS,FAIL,NOT_EVALUATED,,,,PROPOSAL_SCHEMA_OR_COMPILER_INVALID,data/research/trend_swing/ts-v5-r3c-canary-001/artifacts/raw/ts-v5-r3c-i06-relative-strength-pullback-08c51335ea80.json,e1c50ca7f57209ae323a35cf98dc21c6dba680e28d0f0e0fe73112dde564f241,data/research/trend_swing/ts-v5-r3c-canary-001/artifacts/manifests/ts-v5-r3c-i06-relative-strength-pullback.json,925a09ab1cf4cfd1e07c68ac219330043180c14613d24fc732ccb80e632d9fa5,docker-ts-v5-r3c
