account_id,created_at,status,initial_cash,currency,benchmark,execution_policy_version,policy_sha256,code_snapshot_sha256,operator
model_baseline,2026-07-22T12:54:00.399175+00:00,ACTIVE,500000.00,RMB,000906.SH,paper-v1,eaa341b5a3eee94347c7a8453a3e52f1986e3707abfbb6bb69a6d9298c320cc8,6f52025ac0593a37228dd3ceecad47f4db08be2f7e13aa1e7ccc56ae7fd91baa,docker-scheduler
model_top20,2026-07-26T15:56:28.328919+00:00,ACTIVE,500000.00,RMB,000906.SH,paper-top20-v1,d11d773bd79719641dc1bbc35976d4899fddb730d0f3673094cb6f20cc7840c8,6846a7f1ac6555548bd72b4b8a473511566a1d493590a77cb2679c284afd282c,docker-top20-backfill
