decision_id,evaluated_at,research_family,protocol_sha256,decision,strategy_effective,strategy_results_inspected,production_authorization,reason,engineering_report_sha256,operator
p2-star50-engineering-v1-boundary,2026-07-25T00:00:00+08:00,p2-star50-engineering-v1,3e259f9f763400f232a671d6aa0c64b8dec77b61fedddb7b789ef8bac3760f03,P2_1_ENGINEERING_GO_ONLY,NOT_EVALUATED,false,none,P2-2 review required before any real training or effect inspection,a479480da1f6b5506883e0b3056378a7ba159f87671e16c0b876ea3f09c246be,p2-star50-engineering
p2-star50-engineering-v1-boundary-aa85930d28c0,2026-07-25T00:00:00+08:00,p2-star50-engineering-v1,3e259f9f763400f232a671d6aa0c64b8dec77b61fedddb7b789ef8bac3760f03,P2_1_ENGINEERING_GO_ONLY,NOT_EVALUATED,false,none,P2-2 review required before any real training or effect inspection,aa85930d28c0d94d3d17a49d85a54e90f2354d90dc997d035dfdb04b9151b4bf,p2-star50-engineering
p2-star50-engineering-v1-boundary-a4cfad049e36,2026-07-25T00:00:00+08:00,p2-star50-engineering-v1,3e259f9f763400f232a671d6aa0c64b8dec77b61fedddb7b789ef8bac3760f03,P2_1_ENGINEERING_GO_ONLY,NOT_EVALUATED,false,none,P2-2 review required before any real training or effect inspection,a4cfad049e36914fcec76f05c9dc6f5c24b55d85fe4213a37a3e8f7ae9909401,p2-star50-engineering
