decision_id,run_id,candidate,direction_pass,oos_effect_read,adapted_gate_decision,failed_gates,formal_g1_v1_status,production_authorization,effect_report_sha256
m4-star50-residual-effect-v1-dd2d058eda1a-5109ec5b14c8-residual_momentum_35_skip5,m4-star50-residual-effect-v1-dd2d058eda1a-5109ec5b14c8,residual_momentum_35_skip5,false,false,REJECT_DIRECTION,pre_registered_direction,NOT_RUN_UNIVERSE_WINDOW_DOMAIN_MISMATCH,none,627f304a076c5854ab02eb78717a8e6035c3c368dab058ad7212fa7022d0656b
m4-star50-residual-effect-v1-dd2d058eda1a-5109ec5b14c8-residual_reversal_5,m4-star50-residual-effect-v1-dd2d058eda1a-5109ec5b14c8,residual_reversal_5,true,true,REJECT,stress_drawdown|cost_2x|extra_10bp_each_side|deflated_sharpe,NOT_RUN_UNIVERSE_WINDOW_DOMAIN_MISMATCH,none,627f304a076c5854ab02eb78717a8e6035c3c368dab058ad7212fa7022d0656b
m4-star50-residual-effect-v1-dd2d058eda1a-5109ec5b14c8-negative_idiosyncratic_volatility_40,m4-star50-residual-effect-v1-dd2d058eda1a-5109ec5b14c8,negative_idiosyncratic_volatility_40,true,true,REJECT,cost_2x|extra_10bp_each_side|deflated_sharpe,NOT_RUN_UNIVERSE_WINDOW_DOMAIN_MISMATCH,none,627f304a076c5854ab02eb78717a8e6035c3c368dab058ad7212fa7022d0656b
