run_id,finished_at,research_family,protocol_sha256,input_gate_pass,dataset_complete,qlib_complete,pipeline_fixture_pass,idempotency_pass,engineering_complete,strategy_results_inspected,strategy_effective,production_authorization,verdict,quality_report_sha256,engineering_report_sha256,qlib_artifact_sha256,synthetic_smoke_sha256,operator
p2-star50-engineering-v1,2026-07-25T00:00:00+08:00,p2-star50-engineering-v1,3e259f9f763400f232a671d6aa0c64b8dec77b61fedddb7b789ef8bac3760f03,true,true,true,true,true,true,false,NOT_EVALUATED,none,GO,97dfe7adc902673289799d99c7a557ac77aefef98db4ebecc23ebd3ee6ffcd9c,a479480da1f6b5506883e0b3056378a7ba159f87671e16c0b876ea3f09c246be,b8f736ef9bc9e31cc236a81ca281a23e904789fb5ec87caa9195b572c6b78729,893cc976825be3f22ec6f6851104f929cb5ab334e7d1139b90632c25c22d76eb,p2-star50-engineering
p2-star50-engineering-v1-aa85930d28c0,2026-07-25T00:00:00+08:00,p2-star50-engineering-v1,3e259f9f763400f232a671d6aa0c64b8dec77b61fedddb7b789ef8bac3760f03,true,true,true,true,true,true,false,NOT_EVALUATED,none,GO,3074bac232442f1e862c09d529a35f42fd2aa086422b337d1e72e780b569a990,aa85930d28c0d94d3d17a49d85a54e90f2354d90dc997d035dfdb04b9151b4bf,b8f736ef9bc9e31cc236a81ca281a23e904789fb5ec87caa9195b572c6b78729,893cc976825be3f22ec6f6851104f929cb5ab334e7d1139b90632c25c22d76eb,p2-star50-engineering
p2-star50-engineering-v1-a4cfad049e36,2026-07-25T00:00:00+08:00,p2-star50-engineering-v1,3e259f9f763400f232a671d6aa0c64b8dec77b61fedddb7b789ef8bac3760f03,true,true,true,true,true,true,false,NOT_EVALUATED,none,GO,3074bac232442f1e862c09d529a35f42fd2aa086422b337d1e72e780b569a990,a4cfad049e36914fcec76f05c9dc6f5c24b55d85fe4213a37a3e8f7ae9909401,b8f736ef9bc9e31cc236a81ca281a23e904789fb5ec87caa9195b572c6b78729,7d30d9024ccdf20487cf432e8fda6f8449c522f1b4afc8ac1cfa649a730c19b1,p2-star50-engineering
